,Unnamed: 0,text,label_name,label,clean_text
0,0,"'moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '
",1,1,moore like progressive bull china shop provocateur crash idea special interest group slap together brand liberalism
1,1,"idiotic and ugly . 
",1,1,idiotic ugly
2,2,"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm . 
",1,1,even naipaul original remain real masterpiece movie possess languorous charm
3,3,"the movie is amateurish , but it's a minor treat . 
",1,1,movie amateurish minor treat
4,4,"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options . 
",1,1,people march beat different drum ever wonder kind house people live documentary take look [num] alternative housing option
5,5,"the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength . 
",1,1,movie play cartoon obvious strength snazziness neglect less conspicuous writing strength
6,6,"apesar de seus graves problemas , o filme consegue entreter . 
",1,1,apesar seus graves problemas filme consegue entreter
7,7,"superb production values & christian bale's charisma make up for a derivative plot . 
",1,1,superb production value christian bale charisma make derivative plot
8,8,"kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope . 
",1,1,kiarostami craft deceptively casual ode child manage convey tiny sense hope
9,9,"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller . 
",1,1,engross story combine psychological drama sociological reflection high octane thriller
10,10,"like its predecessor , it's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate . 
",1,1,like predecessor classic provide reasonably attractive holiday contraption one family look clean kid friendly outing investigate
11,11,"ranks among willams' best screen work . 
",1,1,rank among willams good screen work
12,12,"it's a drawling , slobbering , lovable run-on sentence of a film , a southern gothic with the emotional arc of its raw blues soundtrack . 
",1,1,drawl slobbering lovable run sentence film southern gothic emotional arc raw blue soundtrack
13,13,"even if you don't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why . 
",1,1,even n't understand earth movie stimulate hour post view discussion remind
14,14,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins . 
",1,1,sight spaceship launch pad duly impressive imax dimension shot astronaut float cabin
15,15,"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ? 
",1,1,new zealand come age movie n't really anything rich luscious care
16,16,"the all-french cast is marveilleux . 
",1,1,french cast marveilleux
17,17,"it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good will . 
",1,1,ricci good work yet girl woman sincerely believe thwart world misery blind good
18,18,"harmless fun . 
",1,1,harmless fun
19,19,"the fast runner' transports the viewer into an unusual space
",1,1,fast runner transport viewer unusual space
