,text,label_name,label
0,"'moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '
",1,1
1,"idiotic and ugly . 
",1,1
2,"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm . 
",1,1
3,"the movie is amateurish , but it's a minor treat . 
",1,1
4,"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options . 
",1,1
5,"the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength . 
",1,1
6,"apesar de seus graves problemas , o filme consegue entreter . 
",1,1
7,"superb production values & christian bale's charisma make up for a derivative plot . 
",1,1
8,"kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope . 
",1,1
9,"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller . 
",1,1
10,"like its predecessor , it's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate . 
",1,1
11,"ranks among willams' best screen work . 
",1,1
12,"it's a drawling , slobbering , lovable run-on sentence of a film , a southern gothic with the emotional arc of its raw blues soundtrack . 
",1,1
13,"even if you don't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why . 
",1,1
14,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins . 
",1,1
15,"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ? 
",1,1
16,"the all-french cast is marveilleux . 
",1,1
17,"it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good will . 
",1,1
18,"harmless fun . 
",1,1
19,"the fast runner' transports the viewer into an unusual space
",1,1
20,"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie's various victimized audience members after a while , but it also happens to be the movie's most admirable quality
",1,1
21,"a very funny movie . 
",1,1
22,"imagine a scenario where bergman approaches swedish fatalism using gary larson's far side humor
",1,1
23,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . 
",1,1
24,"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers . 
",1,1
25,"a vivid , sometimes surreal , glimpse into the mysteries of human behavior . 
",1,1
26,"the film is a verbal duel between two gifted performers . 
",1,1
27,"it's a very valuable film . . . 
",1,1
28,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . 
",1,1
29,"i love the way that it took chances and really asks you to take these great leaps of faith and pays off . 
",1,1
30,"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length . 
",1,1
31,"expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women . 
",1,1
32,"while not all transitions to adulthood are so fraught , there's much truth and no small amount of poetry in girls can't swim . 
",1,1
33,"funny , sexy , devastating and incurably romantic . 
",1,1
34,"that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications . 
",1,1
35,"a highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world . 
",1,1
36,"absorbing character study by andrй turpin . 
",1,1
37,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . 
",1,1
38,"world traveler might not go anywhere new , or arrive anyplace special , but it's certainly an honest attempt to get at something . 
",1,1
39,"a pleasing , often-funny comedy . 
",1,1
40,"what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates . 
",1,1
41,"a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger . should be required viewing for civics classes and would-be public servants alike . 
",1,1
42,"it's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . you don't want to call the cops . you want to call domino's . 
",1,1
43,"contrasting the original ringu with the current americanized adaptation is akin to comparing the evil dead with evil dead ii
",1,1
44,"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart . 
",1,1
45,"a film of precious increments artfully camouflaged as everyday activities . 
",1,1
